method,subset,band,mode,degree,is_degree_endpoint,ICC3_1,CI_low,CI_high
LB,ALL59,theta,3,1,0,0.3664547192571212,0.2048099181999599,0.5134208762772111
LB,ALL59,theta,4,1,1,0.5784364028210308,0.46383442645899264,0.6803747790603937
LB,ALL59,theta,5,2,0,0.5483960393397816,0.41481611430293314,0.6608852518547885
LB,ALL59,theta,6,2,0,0.4726113008531466,0.3401135277266881,0.5938497479047408
LB,ALL59,theta,7,2,0,0.46627590316602036,0.2874083801719044,0.6172234153071249
LB,ALL59,theta,8,2,0,0.6244725193568418,0.5282230362763298,0.7108480498026658
LB,ALL59,theta,9,2,1,0.31434529224908614,0.09545545924832774,0.5038957418166111
LB,ALL59,theta,10,3,0,0.6216166146347253,0.5173344817824441,0.7141361846120485
LB,ALL59,theta,11,3,0,0.37175715969710293,0.25690664728275675,0.48511496476679145
LB,ALL59,theta,12,3,0,0.4622593566186704,0.3281177399373324,0.5937965373801228
LB,ALL59,theta,13,3,0,0.5131918545403671,0.3992082581110907,0.6141060681409027
LB,ALL59,theta,14,3,0,0.320368128064218,0.15409705955148845,0.4836765955935376
LB,ALL59,theta,15,3,0,0.462000512631637,0.34816696490135257,0.5553048293958053
LB,ALL59,theta,16,3,1,0.5607144363017955,0.4039662617188814,0.6831210602967711
LB,ALL59,theta,17,4,0,0.5659754621567358,0.45121921670747217,0.6792523347960681
LB,ALL59,theta,18,4,0,0.3828030647779865,0.22196272974709413,0.5319266833070075
LB,ALL59,theta,19,4,0,0.4697347915231094,0.3226004729363856,0.6008312521617993
LB,ALL59,theta,20,4,0,0.5717401198335291,0.4117241038956085,0.6992147813872542
LB,ALL59,theta,21,4,0,0.5476380097485815,0.4367883502434392,0.6442202879554911
LB,ALL59,theta,22,4,0,0.26372107935295747,0.09284814600383393,0.414450432085781
LB,ALL59,theta,23,4,0,0.38004820235917575,0.2663301683085054,0.4929274758216165
LB,ALL59,theta,24,4,0,0.4788638230622898,0.36641987994369607,0.588383176229537
LB,ALL59,theta,25,4,1,0.5028506633516925,0.3686484838694545,0.605162784228062
LB,ALL59,theta,26,5,0,0.4983780773239559,0.35698501798816473,0.6224341619799376
LB,ALL59,theta,27,5,0,0.42970589108195806,0.2584040385115835,0.5871154147346077
LB,ALL59,theta,28,5,0,0.48829480844114365,0.36510075967492917,0.6108271072016559
LB,ALL59,theta,29,5,0,0.1731869244900573,0.04886394058774928,0.2971461244814069
LB,ALL59,theta,30,5,0,0.5120488585435645,0.32537186567921944,0.6612383438664269
LB,ALL59,theta,31,5,0,0.41127907453343576,0.2782117415805855,0.5415829774436968
LB,ALL59,theta,32,5,0,0.30053717830134274,0.09622032661725584,0.47574500162265265
LB,ALL59,theta,33,5,0,0.49776817350492025,0.35711062323457876,0.6191255331852008
LB,ALL59,theta,34,5,0,0.5756817753649749,0.43636519858229106,0.6856474042026878
LB,ALL59,theta,35,5,0,0.458980321565158,0.3582139516516156,0.5561472488743637
LB,ALL59,theta,36,5,1,0.35277810680764476,0.18909573515269387,0.5100399863124203
LB,ALL59,theta,37,6,0,0.5198272375252878,0.41326839154523665,0.6103341312739117
LB,ALL59,theta,38,6,0,0.4836960764223101,0.36309951665566426,0.6054541720524551
LB,ALL59,theta,39,6,0,0.4758562039011152,0.33396024083888814,0.6095378023960316
LB,ALL59,theta,40,6,0,0.47078053774280243,0.3201401117672284,0.600819070414343
LB,ALL59,theta,41,6,0,0.4431351439672558,0.27579775164500264,0.5926201419025242
LB,ALL59,theta,42,6,0,0.44761388939808067,0.315219879300483,0.564753203207394
LB,ALL59,theta,43,6,0,0.4904910416176938,0.36564854050284157,0.5968442584643634
LB,ALL59,theta,44,6,0,0.3584793093742562,0.2156193282433925,0.4914984340216816
LB,ALL59,theta,45,6,0,0.5011763827733825,0.3651078012383688,0.6227749016365495
LB,ALL59,theta,46,6,0,0.29043619242703617,0.11875372581593849,0.45391063984130536
LB,ALL59,theta,47,6,0,0.5448404660830034,0.40435819073712814,0.6752143163638215
LB,ALL59,theta,48,6,0,0.5209771778929434,0.3958338500668245,0.6248367905659014
LB,ALL59,theta,49,6,1,0.42756124824560804,0.28884672997259875,0.5511098514301639
LB,ALL59,theta,50,7,0,0.37549552789968066,0.2556079533945382,0.4864672649472008
LB,ALL59,theta,51,7,0,0.3599848334548736,0.20451538598701055,0.4701036587652118
LB,ALL59,theta,52,7,0,0.5000647896216345,0.3687358053174285,0.6030707958258626
LB,ALL59,theta,53,7,0,0.45501202477177055,0.3143574603617627,0.5790284560973653
LB,ALL59,theta,54,7,0,0.4967236040449931,0.35786162961871537,0.6186906736958445
LB,ALL59,theta,55,7,0,0.4613103000179364,0.23239803182548843,0.6569938452518361
LB,ALL59,theta,56,7,0,0.49095104060405914,0.31004238192407096,0.6656371892469307
LB,ALL59,theta,57,7,0,0.4586356198677914,0.3036992386023723,0.5937505529815662
LB,ALL59,theta,58,7,0,0.49922727062451994,0.3511777324250467,0.6263811408970987
LB,ALL59,theta,59,7,0,0.4325321060614974,0.3068436045590975,0.5495766792119885
LB,ALL59,theta,60,7,0,0.5251302592025228,0.3638054550124165,0.6589066459459013
