method,subset,band,mode,degree,is_degree_endpoint,ICC3_1,CI_low,CI_high
SPH,ALL59,delta,16,3,1,0.5160552474546066,0.3981765160537294,0.6310912937338207
SPH,ALL59,delta,17,4,0,0.46582904928819563,0.2606752066207364,0.6265834314097252
SPH,ALL59,delta,18,4,0,0.26883795280632655,0.1359319954498436,0.406846666007183
SPH,ALL59,delta,19,4,0,0.4249488991824226,0.22105260318184364,0.5779899998584542
SPH,ALL59,delta,20,4,0,0.5167275085744751,0.37890128427608877,0.6224864118969546
SPH,ALL59,delta,21,4,0,0.5570480965223567,0.43070347630095895,0.6653287050290378
SPH,ALL59,delta,22,4,0,0.40667902639218506,0.2879939904342678,0.5040461179459697
SPH,ALL59,delta,23,4,0,0.4691538337766705,0.3397858714671857,0.5961368667120985
SPH,ALL59,delta,24,4,0,0.3712435579391117,0.19803870403821355,0.5226106160951357
SPH,ALL59,delta,25,4,1,0.5640877084173216,0.43948940698071387,0.6612804681804179
SPH,ALL59,delta,26,5,0,0.5030908692505411,0.3979629911419842,0.5967839123987306
SPH,ALL59,delta,27,5,0,0.4603785207220813,0.3369965772549139,0.5740470853974218
SPH,ALL59,delta,28,5,0,0.529632286153288,0.400870437499775,0.6441209657989767
SPH,ALL59,delta,29,5,0,0.4221162065526247,0.19308046490004643,0.6053019952655959
SPH,ALL59,delta,30,5,0,0.4463354866268611,0.29743310814665563,0.586396686622345
SPH,ALL59,delta,31,5,0,0.5896034302786183,0.46856215419624725,0.6931293127646208
SPH,ALL59,delta,32,5,0,0.45207777453152626,0.31934388145659304,0.5670014570049023
SPH,ALL59,delta,33,5,0,0.43472240821256725,0.25894557201744933,0.5779640683749817
SPH,ALL59,delta,34,5,0,0.5574359002087225,0.4453756206165074,0.6579353255831858
SPH,ALL59,delta,35,5,0,0.6381166838633806,0.5409023068175378,0.7177163791755202
SPH,ALL59,delta,36,5,1,0.5318712432405599,0.39318807153826263,0.6522540954166183
SPH,ALL59,delta,37,6,0,0.5427226637691769,0.39349951571185543,0.6626667953359316
SPH,ALL59,delta,38,6,0,0.5765407535321333,0.4729175137978478,0.6655751418296681
SPH,ALL59,delta,39,6,0,0.4337517852085318,0.32073505999332336,0.547775767472531
SPH,ALL59,delta,40,6,0,0.4290962573304234,0.2624262605098013,0.5712370148472312
SPH,ALL59,delta,41,6,0,0.4554143757729132,0.24129233542876868,0.6230857678839498
SPH,ALL59,delta,42,6,0,0.4160869581596618,0.26346903863174165,0.5544017866062794
SPH,ALL59,delta,43,6,0,0.5726500396817726,0.44247921376194854,0.6814007208509423
SPH,ALL59,delta,44,6,0,0.42877688043799983,0.30932528418313127,0.5428879516987017
SPH,ALL59,delta,45,6,0,0.5418951849138397,0.4167820152068333,0.6497321911805594
SPH,ALL59,delta,46,6,0,0.4679734660630734,0.33398726602153805,0.5917083956381504
SPH,ALL59,delta,47,6,0,0.703478274791099,0.6078992068308033,0.7768209964382873
SPH,ALL59,delta,48,6,0,0.5513133048373009,0.42197817961019846,0.6626122452157647
SPH,ALL59,delta,49,6,1,0.6422762483119022,0.5186498201973291,0.7472313588391186
SPH,ALL59,delta,50,7,0,0.5708980569211051,0.47573377258774746,0.6596840192567064
SPH,ALL59,delta,51,7,0,0.5419327210645455,0.3957903773540204,0.6571798001874087
SPH,ALL59,delta,52,7,0,0.6746404653296278,0.5702323425949178,0.7557602988348195
SPH,ALL59,delta,53,7,0,0.44912085953375286,0.31413879657519356,0.5586491863176667
SPH,ALL59,delta,54,7,0,0.4867552674813526,0.32250652147580283,0.6299042489914068
SPH,ALL59,delta,55,7,0,0.5023075709362638,0.3098121141861653,0.6584981337056596
SPH,ALL59,delta,56,7,0,0.4874841907888884,0.3535699608379112,0.6143784655754745
SPH,ALL59,delta,57,7,0,0.608232102808013,0.49321632650247027,0.7064597964260981
